OACI,Aeropuerto,Latitud,Longitud,Fecha,METAR,FECHA_HORA_REPORTE
SKBO,Bogotá / El Dorado,4.70306,-74.13833,07-05-2026 23:05:00,SKBO 072300Z 11003KT 030V170 9999 SCT040 18/11 Q1025 NOSIG =,2026-05-07 23:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 00:05:00,SKBO 080000Z 25004KT 210V300 9999 FEW040 16/12 Q1026 NOSIG =,2026-05-08 00:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 01:05:00,SKBO 080100Z 31005KT 270V340 9999 FEW015 SCT035 14/11 Q1027 NOSIG =,2026-05-08 01:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 02:05:00,SKBO 080200Z VRB02KT 9999 SCT030 12/11 Q1027 NOSIG =,2026-05-08 02:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 03:05:00,SKBO 080300Z VRB02KT 9999 SCT030 BKN050 12/11 Q1028 NOSIG =,2026-05-08 03:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 04:05:00,SKBO 080400Z 35003KT 9999 FEW030 BKN050 13/11 Q1028 NOSIG =,2026-05-08 04:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 05:05:00,SKBO 080500Z 35003KT 9999 FEW030 BKN080 12/12 Q1028 NOSIG =,2026-05-08 05:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 06:05:00,SKBO 080600Z VRB01KT 9999 BKN070 12/11 Q1027 NOSIG =,2026-05-08 06:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 07:05:00,SKBO 080700Z VRB01KT 9999 FEW015 BKN050 11/11 Q1027 NOSIG =,2026-05-08 07:05:00
SKBO,Bogotá / El Dorado,4.70306,-74.13833,08-05-2026 08:05:00,SKBO 080800Z VRB02KT 9999 FEW025 BKN050 12/12 Q1026 NOSIG =,2026-05-08 08:05:00
